"Product Name"," Product Code"," Expected"," Counted"
ایوارڈ,355,7,
ایوارڈ,355,1,
"ایم آر کراچی",356,8,
"ایم آر کراچی",356,1,
مازلو,357,1,
"L یونیفارم",381,1,
"L یونیفارم",381,1,
"L یونیفارم",381,2,
"لال قلعہ",202,4,
"لال قلعہ",202,6,
"لال قلعہ",202,4,
"لال قلعہ",202,3,
"لال قلعہ",202,1,
میٹرو,204,7,
میٹرو,204,1,
میٹرو,204,1,
سینیٹر,207,3,
سینیٹر,207,1,
"بریزہ کاٹن",151,38,
"بریزہ کاٹن",151,2,
"بریزہ کاٹن",151,1,
"بریزہ کاٹن",151,2,
"بریزہ کاٹن",151,1,
"بریزہ کاٹن",151,1,
"آمبر ڈیزائن",124,31,
"آمبر ڈیزائن",124,1,
"آمبر ڈیزائن",124,1,
"آمبر ڈیزائن",124,1,
"آمبر ڈیزائن",124,1,
"آمبر ڈیزائن",124,1,
"آمبر ڈیزائن",124,1,
"شبیر کیمری",141,8,
"شبیر کیمری",141,3,
"شبیر کیمری",141,1,
رینببو,142,3,
رینببو,142,3,
رینببو,142,0,
رینببو,142,1,
رینببو,142,1,
رینببو,142,1,
"گریس دھنک",102,20,
"گریس دھنک",102,10,
"گریس دھنک",102,4,
"گریس دھنک",102,3,
"سٹار لایيٹ",104,15,
"سٹار لایيٹ",104,7,
"سٹار لایيٹ",104,1,
"سٹار لایيٹ",104,2,
"سٹار لایيٹ",104,1,
"سٹار لایيٹ",104,1,
کارٹر,113,18,
کارٹر,113,4,
کارٹر,113,1,
کارٹر,113,1,
کارٹر,113,1,
مصری,127,9,
مصری,127,1,
"المصری 11000",209,24,
"المصری 11000",209,13,
"المصری 11000",209,3,
"المصری 11000",209,1,
"المصری 11000",209,5,
"المصری 11000",209,1,
چیری,123,1,
چیری,123,1,
چیری,123,1,
چیری,123,1,
چیری,123,1,
چیری,123,1,
"بلیو بیری",173,13,
"بلیو بیری",173,2,
"بلیو بیری",173,1,
"سٹورم  شارٹنگ",358,5,
"سٹورم  شارٹنگ",358,1,
"سٹورم  شارٹنگ",358,1,
"سٹورم  شارٹنگ",358,1,
"چاند تارہ",359,15,
"چاند تارہ",359,2,
"چاند تارہ",359,3,
"چاند تارہ",359,2,
"چاند تارہ",359,2,
"Han Quat",362,12,
"Han Quat",362,5,
"Han Quat",362,1,
"Han Quat",362,2,
"سپر نظارہ",360,14,
"سپر نظارہ",360,3,
"سپر نظارہ",360,1,
پونورامہ,361,5,
"زم زما",117,1,
"زم زما",117,1,
"زم زما",117,1,
"زم زما",117,2,
"زم زما",117,1,
"زم زما",117,1,
"زم زما",117,1,
نواب,203,81,
نواب,203,42,
نواب,203,40,
نواب,203,27,
نواب,203,8,
"L یونیفارم",381,1,
نواب,203,1,
نواب,203,2,
نواب,203,1,
